rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,date,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,current_age
11.0,80500.0,Fashion & Retail,Francoise Bettencourt Meyers & family,69.0,France,Paris,L'Oréal,Fashion & Retail,France,False,U,F,1953-07-10 00:00:00,Bettencourt Meyers,Francoise,4/4/2023 5:01,1953.0,7.0,10.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,71.0
12.0,79200.0,Technology,Larry Page,50.0,United States,Palo Alto,Google,Technology,United States,True,D,M,1973-03-26 00:00:00,Page,Larry,4/4/2023 5:01,1973.0,3.0,26.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,52.0
13.0,77300.0,Fashion & Retail,Amancio Ortega,87.0,Spain,La Coruna,Zara,Fashion & Retail,Spain,True,U,M,1936-03-28 00:00:00,Ortega,Amancio,4/4/2023 5:01,1936.0,3.0,28.0,110.96,0.7,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922,89.0
14.0,76000.0,Technology,Sergey Brin,49.0,United States,Los Altos,Google,Technology,United States,True,D,M,1973-08-21 00:00:00,Brin,Sergey,4/4/2023 5:01,1973.0,8.0,21.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,51.0
15.0,68000.0,Food & Beverage,Zhong Shanshan,68.0,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,True,U,M,1954-12-01 00:00:00,Zhong,Shanshan,4/4/2023 5:01,1954.0,12.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,70.0
16.0,64400.0,Technology,Mark Zuckerberg,38.0,United States,Palo Alto,Facebook,Technology,United States,True,D,M,1984-05-14 00:00:00,Zuckerberg,Mark,4/4/2023 5:01,1984.0,5.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,40.0
17.0,59000.0,Diversified,Charles Koch & family,87.0,United States,Wichita,Koch Industries,Diversified,United States,False,D,M,1935-11-01 00:00:00,Koch,Charles,4/4/2023 5:01,1935.0,11.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,89.0
17.0,59000.0,Diversified,Julia Koch & family,60.0,United States,New York,Koch Industries,Diversified,United States,False,D,F,1962-04-12 00:00:00,Koch,Julia,4/4/2023 5:01,1962.0,4.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,62.0
19.0,58800.0,Fashion & Retail,Jim Walton,74.0,United States,Bentonville,Walmart,Fashion & Retail,United States,False,D,M,1948-06-07 00:00:00,Walton,Jim,4/4/2023 5:01,1948.0,6.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,76.0
20.0,57600.0,Fashion & Retail,Rob Walton & family,78.0,United States,Bentonville,Walmart,Fashion & Retail,United States,False,D,M,1944-10-27 00:00:00,Walton,Rob,4/4/2023 5:01,1944.0,10.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80.0
21.0,56700.0,Fashion & Retail,Alice Walton,73.0,United States,Fort Worth,Walmart,Fashion & Retail,United States,False,D,F,1949-10-07 00:00:00,Walton,Alice,4/4/2023 5:01,1949.0,10.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,75.0
22.0,54400.0,Media & Entertainment,David Thomson & family,65.0,Canada,Toronto,Media,Media & Entertainment,Canada,False,U,M,1957-06-12 00:00:00,Thomson,David,4/4/2023 5:01,1957.0,6.0,12.0,116.76,1.9,1736425629520.0,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771,67.0
23.0,50100.0,Technology,Michael Dell,58.0,United States,Austin,Dell Technologies,Technology,United States,True,D,M,1965-02-23 00:00:00,Dell,Michael,4/4/2023 5:01,1965.0,2.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,60.0
24.0,47200.0,Diversified,Gautam Adani,60.0,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,True,D,M,1962-06-24 00:00:00,Adani,Gautam,4/4/2023 5:01,1962.0,6.0,24.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,62.0
25.0,45100.0,Fashion & Retail,Phil Knight & family,85.0,United States,Hillsboro,Nike,Fashion & Retail,United States,True,D,M,1938-02-24 00:00:00,Knight,Phil,4/4/2023 5:01,1938.0,2.0,24.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,87.0
26.0,45000.0,Technology,Zhang Yiming,39.0,China,Beijing,TikTok,Technology,China,True,D,M,1984-01-01 00:00:00,Zhang,Yiming,4/4/2023 5:01,1984.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,41.0
27.0,42900.0,Fashion & Retail,Dieter Schwarz,83.0,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,False,D,M,1939-09-24 00:00:00,Schwarz,Dieter,4/4/2023 5:01,1939.0,9.0,24.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,85.0
28.0,40100.0,Fashion & Retail,François Pinault & family,86.0,France,Paris,Luxury goods,Fashion & Retail,France,True,D,M,1936-08-21 00:00:00,Pinault,François,4/4/2023 5:01,1936.0,8.0,21.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,88.0
29.0,39100.0,Logistics,Klaus-Michael Kuehne,85.0,Switzerland,Schindellegi,Shipping,Logistics,Germany,False,U,M,1937-06-02 00:00:00,Kuehne,Klaus-Michael,4/4/2023 5:01,1937.0,6.0,2.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,87.0
30.0,38900.0,Food & Beverage,Giovanni Ferrero,58.0,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,False,U,M,1964-09-21 00:00:00,Ferrero,Giovanni,4/4/2023 5:01,1964.0,9.0,21.0,117.11,1.4,529606710418.0,79.7,103.9,81.6,24.0,55.4,11484055.0,50.503887,4.469936,60.0
31.0,38300.0,Food & Beverage,Jacqueline Mars,83.0,United States,The Plains,"Candy, pet food",Food & Beverage,United States,False,U,F,1939-10-10 00:00:00,Mars,Jacqueline,4/4/2023 5:01,1939.0,10.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,85.0
31.0,38300.0,Food & Beverage,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,False,U,M,1935-10-15 00:00:00,Mars,John,4/4/2023 5:01,1935.0,10.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,89.0
33.0,38000.0,Diversified,Li Ka-shing,94.0,Hong Kong,New York,Diversified,Diversified,Hong Kong,True,U,M,1928-06-13 00:00:00,Li,Ka-shing,4/4/2023 5:01,1928.0,6.0,13.0,127.75520358306187,4.364169381107492,11582873303921.562,67.22567127746136,102.85851972346481,78.12282343368594,12.546235246235245,43.963344182262006,510205317.8392569,34.90359153606624,12.583155795072697,96.0
34.0,35300.0,Technology,Ma Huateng,51.0,China,Shenzhen,Internet media,Technology,China,True,D,M,1971-10-29 00:00:00,Ma,Huateng,4/4/2023 5:01,1971.0,10.0,29.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,53.0
35.0,35000.0,Gambling & Casinos,Miriam Adelson & family,77.0,United States,Las Vegas,Casinos,Gambling & Casinos,United States,False,U,F,1945-10-10 00:00:00,Adelson,Miriam,4/4/2023 5:01,1945.0,10.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,79.0
35.0,35000.0,Finance & Investments,Ken Griffin,54.0,United States,Miami,Hedge funds,Finance & Investments,United States,True,U,M,1968-10-15 00:00:00,Griffin,Ken,4/4/2023 5:01,1968.0,10.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,56.0
37.0,34700.0,Food & Beverage,Mark Mateschitz,30.0,Austria,Salzburg,Red Bull,Food & Beverage,Austria,False,N,M,1992-05-07 00:00:00,Mateschitz,Mark,4/4/2023 5:01,1992.0,5.0,7.0,118.06,1.5,446314739528.0,85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072,32.0
38.0,33400.0,Automotive,Robin Zeng,54.0,China,Ningde,Batteries,Automotive,Hong Kong,True,D,M,1969-01-01 00:00:00,Zeng,Robin,4/4/2023 5:01,1969.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,56.0
39.0,32600.0,Fashion & Retail,Tadashi Yanai & family,74.0,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,True,U,M,1949-02-07 00:00:00,Yanai,Tadashi,4/4/2023 5:01,1949.0,2.0,7.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,76.0
40.0,32100.0,Diversified,Len Blavatnik,65.0,United Kingdom,London,"Music, chemicals",Diversified,United States,True,D,M,1957-06-01 00:00:00,Blavatnik,Len,4/4/2023 5:01,1957.0,6.0,1.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,67.0
41.0,31600.0,Fashion & Retail,Alain Wertheimer,74.0,United States,New York,Chanel,Fashion & Retail,France,False,U,M,1948-08-28 00:00:00,Wertheimer,Alain,4/4/2023 5:01,1948.0,8.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,76.0
41.0,31600.0,Fashion & Retail,Gerard Wertheimer,72.0,United States,New York,Chanel,Fashion & Retail,France,False,U,M,1951-01-09 00:00:00,Wertheimer,Gerard,4/4/2023 5:01,1951.0,1.0,9.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,74.0
43.0,31200.0,Logistics,Gianluigi Aponte,82.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,True,Split Family Fortune,M,1940-06-27 00:00:00,Aponte,Gianluigi,4/4/2023 5:01,1940.0,6.0,27.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,84.0
43.0,31200.0,Logistics,Rafaela Aponte-Diamant,78.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,True,Split Family Fortune,F,1945-03-26 00:00:00,Aponte-Diamant,Rafaela,4/4/2023 5:01,1945.0,3.0,26.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,80.0
45.0,30200.0,Technology,Colin Zheng Huang,43.0,China,Shanghai,E-commerce,Technology,China,True,U,M,1980-02-02 00:00:00,Huang,Colin Zheng,4/4/2023 5:01,1980.0,2.0,2.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,45.0
46.0,29700.0,Manufacturing,Reinhold Wuerth & family,87.0,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,True,U,M,1935-04-20 00:00:00,Wuerth,Reinhold,4/4/2023 5:01,1935.0,4.0,20.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,89.0
47.0,29500.0,Real Estate,Lee Shau Kee,95.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,True,D,M,1928-01-29 00:00:00,Lee,Shau Kee,4/4/2023 5:01,1928.0,1.0,29.0,127.75520358306187,4.364169381107492,11582873303921.562,67.22567127746136,102.85851972346481,78.12282343368594,12.546235246235245,43.963344182262006,510205317.8392569,34.90359153606624,12.583155795072697,97.0
48.0,28500.0,Finance & Investments,Jeff Yass,64.0,United States,Haverford,"Trading, investments",Finance & Investments,United States,True,U,M,1958-07-17 00:00:00,Yass,Jeff,4/4/2023 5:01,1958.0,7.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,66.0
49.0,28100.0,Finance & Investments,Jim Simons,84.0,United States,East Setauket,Hedge funds,Finance & Investments,United States,True,D,M,1938-04-25 00:00:00,Simons,Jim,4/4/2023 5:01,1938.0,4.0,25.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,86.0
50.0,27800.0,Finance & Investments,Stephen Schwarzman,76.0,United States,New York,Investments,Finance & Investments,United States,True,D,M,1947-02-14 00:00:00,Schwarzman,Stephen,4/4/2023 5:01,1947.0,2.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,78.0
51.0,27400.0,Automotive,Susanne Klatten,60.0,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,False,U,F,1962-04-28 00:00:00,Klatten,Susanne,4/4/2023 5:01,1962.0,4.0,28.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,62.0
52.0,27000.0,Metals & Mining,Gina Rinehart,69.0,Australia,Perth,Mining,Metals & Mining,Australia,False,D,F,1954-02-09 00:00:00,Rinehart,Gina,4/4/2023 5:01,1954.0,2.0,9.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136,71.0
53.0,26700.0,Technology,William Ding,51.0,China,Hangzhou,Online games,Technology,China,True,U,M,1971-10-01 00:00:00,Ding,William,4/4/2023 5:01,1971.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,53.0
54.0,26600.0,Metals & Mining,Germán Larrea Mota Velasco & family,69.0,Mexico,Mexico City,Mining,Metals & Mining,Mexico,False,D,M,1953-10-26 00:00:00,Larrea Mota Velasco,Germán,4/4/2023 5:01,1953.0,10.0,26.0,141.54,3.6,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784,71.0
55.0,25600.0,Technology,Shiv Nadar,77.0,India,Delhi,software services,Technology,India,True,D,M,1945-07-18 00:00:00,Nadar,Shiv,4/4/2023 5:01,1945.0,7.0,18.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,79.0
56.0,25500.0,Energy,Low Tuck Kwong,74.0,Indonesia,Jakarta,Coal,Energy,Indonesia,True,U,M,1948-04-17 00:00:00,Low Tuck,Kwong,4/4/2023 5:01,1948.0,4.0,17.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,76.0
57.0,25300.0,Finance & Investments,Thomas Peterffy,78.0,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,True,U,M,1944-09-30 00:00:00,Peterffy,Thomas,4/4/2023 5:01,1944.0,9.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80.0
58.0,25200.0,Metals & Mining,Andrey Melnichenko & family,51.0,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,True,U,M,1972-03-08 00:00:00,Melnichenko,Andrey,4/4/2023 5:01,1972.0,3.0,8.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818,53.0
59.0,24600.0,Automotive,Stefan Quandt,56.0,Germany,Frankfurt,BMW,Automotive,Germany,False,U,M,1966-05-09 00:00:00,Quandt,Stefan,4/4/2023 5:01,1966.0,5.0,9.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,58.0
60.0,24400.0,Technology,MacKenzie Scott,52.0,United States,Seattle,Amazon,Technology,United States,False,D,F,1970-04-07 00:00:00,Scott,MacKenzie,4/4/2023 5:01,1970.0,4.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,55.0
61.0,24200.0,Finance & Investments,R. Budi Hartono,82.0,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,False,U,M,1941-01-01 00:00:00,Hartono,R. Budi,4/4/2023 5:01,1941.0,1.0,1.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,84.0
62.0,23700.0,Metals & Mining,Vladimir Potanin,62.0,Russia,Moscow,Metals,Metals & Mining,Russia,True,U,M,1961-01-03 00:00:00,Potanin,Vladimir,4/4/2023 5:01,1961.0,1.0,3.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,64.0
63.0,23500.0,Technology,Jack Ma,58.0,China,Hangzhou,E-commerce,Technology,China,True,U,M,1964-09-10 00:00:00,Ma,Jack,4/4/2023 5:01,1964.0,9.0,10.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,60.0
64.0,23400.0,Manufacturing,He Xiangjian & family,80.0,China,Foshan,Home appliances,Manufacturing,China,True,D,M,1942-08-11 00:00:00,He,Xiangjian,4/4/2023 5:01,1942.0,8.0,11.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,82.0
65.0,23100.0,Metals & Mining,Iris Fontbona & family,80.0,Chile,Santiago,Mining,Metals & Mining,Chile,False,U,F,1943-01-01 00:00:00,Fontbona,Iris,4/4/2023 5:01,1943.0,1.0,1.0,131.91,2.6,282318159745.0,88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675147,-71.542969,82.0
65.0,23100.0,Manufacturing,Michael Hartono,83.0,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,False,U,M,1939-10-02 00:00:00,Hartono,Michael,4/4/2023 5:01,1939.0,10.0,2.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,85.0
67.0,22900.0,Manufacturing,James Ratcliffe,70.0,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,True,U,M,1953-01-01 00:00:00,Ratcliffe,James,4/4/2023 5:01,1953.0,1.0,1.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,72.0
68.0,22600.0,Healthcare,Cyrus Poonawalla,81.0,India,Pune,Vaccines,Healthcare,India,False,D,M,1941-05-11 00:00:00,Poonawalla,Cyrus,4/4/2023 5:01,1941.0,5.0,11.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,83.0
69.0,22400.0,Telecom,Masayoshi Son,65.0,Japan,Tokyo,"Internet, telecom",Telecom,Japan,True,U,M,1957-08-11 00:00:00,Son,Masayoshi,4/4/2023 5:01,1957.0,8.0,11.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,67.0
70.0,22100.0,Metals & Mining,Vladimir Lisin,66.0,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,True,U,M,1956-05-07 00:00:00,Lisin,Vladimir,4/4/2023 5:01,1956.0,5.0,7.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,68.0
71.0,22000.0,Food & Beverage,Emmanuel Besnier,52.0,France,Laval,Cheese,Food & Beverage,France,False,D,M,1970-09-18 00:00:00,Besnier,Emmanuel,4/4/2023 5:01,1970.0,9.0,18.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,54.0
72.0,21600.0,Finance & Investments,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,United States,False,U,F,1961-12-19 00:00:00,Johnson,Abigail,4/4/2023 5:01,1961.0,12.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,63.0
72.0,21600.0,Energy,Leonid Mikhelson & family,67.0,Russia,Moscow,"Gas, chemicals",Energy,Russia,True,U,M,1955-08-11 00:00:00,Mikhelson,Leonid,4/4/2023 5:01,1955.0,8.0,11.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,69.0
74.0,21200.0,Fashion & Retail,Lukas Walton,36.0,United States,Chicago,Walmart,Fashion & Retail,United States,False,U,M,1986-09-19 00:00:00,Walton,Lukas,4/4/2023 5:01,1986.0,9.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,38.0
74.0,21200.0,Service,Wang Wei,52.0,China,Shenzhen,Package delivery,Service,China,True,D,M,1970-10-01 00:00:00,Wang,Wei,4/4/2023 5:01,1970.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,54.0
76.0,21100.0,Technology,Jensen Huang,60.0,United States,Los Altos,Semiconductors,Technology,United States,True,U,M,1963-02-17 00:00:00,Huang,Jensen,4/4/2023 5:01,1963.0,2.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,62.0
77.0,21000.0,Fashion & Retail,Leonard Lauder,90.0,United States,New York,Estee Lauder,Fashion & Retail,United States,False,D,M,1933-03-19 00:00:00,Lauder,Leonard,4/4/2023 5:01,1933.0,3.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,92.0
77.0,21000.0,Manufacturing,Takemitsu Takizaki,77.0,Japan,Osaka,Sensors,Manufacturing,Japan,True,D,M,1945-06-10 00:00:00,Takizaki,Takemitsu,4/4/2023 5:01,1945.0,6.0,10.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,79.0
79.0,20900.0,Metals & Mining,Alexey Mordashov & family,57.0,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,True,U,M,1965-09-26 00:00:00,Mordashov,Alexey,4/4/2023 5:01,1965.0,9.0,26.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,59.0
80.0,20500.0,Energy,Vagit Alekperov,72.0,Russia,Moscow,Oil,Energy,Russia,True,U,M,1950-09-01 00:00:00,Alekperov,Vagit,4/4/2023 5:01,1950.0,9.0,1.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,74.0
81.0,20200.0,Healthcare,"Thomas Frist, Jr. & family",84.0,United States,Nashville,Hospitals,Healthcare,United States,True,D,M,1938-08-12 00:00:00,Frist,Thomas,4/4/2023 5:01,1938.0,8.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,86.0
82.0,19600.0,Metals & Mining,Andrew Forrest,61.0,Australia,Perth,Mining,Metals & Mining,Australia,True,U,M,1961-11-18 00:00:00,Forrest,Andrew,4/4/2023 5:01,1961.0,11.0,18.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136,63.0
